id	symbol	description	A2_rep1	A2_rep2	B2_rep1	B2_rep2	C2_rep1	C2_rep2	D3_rep1	D3_rep2	pUC57_rep1	pUC57_rep2
ENSG00000070669	ASNS	"asparagine synthetase (glutamine-hydrolyzing)"	1695.17294327594	2116.13561962324	2313.77992923209	2538.62192329543	1613.62399039456	2115.28952902989	1524.69605461725	2256.05349129187	1285.54566596652	1862.88801793337
ENSG00000087266	SH3BP2	"SH3 domain binding protein 2"	276.676942688782	449.964122508486	358.036917496065	567.793185097627	198.011263380364	317.669815391677	242.717665686651	364.585244229455	166.945546312985	247.62606197128
ENSG00000106948	AKNA	"AT-hook transcription factor"	257.716847631428	343.994311048154	372.842955437631	460.527470028805	200.02493724525	240.887063804115	234.671776216375	245.001284122194	177.339043359708	170.776594462952
ENSG00000107731	UNC5B	"unc-5 netrin receptor B"	278.783619917376	463.006560842065	448.219148594697	524.886899070098	291.982710408334	286.053388267387	228.637359113669	310.626628083496	242.298399901725	294.589625448592
ENSG00000128165	ADM2	"adrenomedullin 2"	217.689980288128	500.503571051106	312.272800222131	559.211927892121	185.929220191054	290.570020713714	212.545580173117	316.459991991167	136.414648738237	266.126859704766
ENSG00000128591	FLNC	"filamin C"	610.234170549622	1646.60783961439	922.012362724828	2040.9090053761	644.37563676322	1020.75893286994	516.948398465216	1076.25564096535	573.591118266014	915.077918663983
ENSG00000128965	CHAC1	"ChaC glutathione specific gamma-glutamylcyclotransferase 1"	170.640855516177	260.848766671586	270.546693295898	283.181487781688	146.99819213661	248.414784547994	126.722759156843	240.626261191441	99.3878155092866	183.584839047673
ENSG00000130766	SESN2	"sestrin 2"	584.954043806485	1216.20737460627	751.069924672195	1345.82717173014	502.076016978009	865.68788554604	561.200790551732	876.462927127611	387.157764990424	886.615152920158
ENSG00000135842	FAM129A	"family with sequence similarity 129 member A"	192.40985354499	343.994311048154	323.040827815998	453.376422357551	151.696764488008	236.370431357788	142.814538097394	259.584693891372	160.449610658783	186.431115622056
ENSG00000139269	INHBE	"inhibin beta E subunit"	329.343873403651	430.400465008117	629.25661251658	626.431776001916	324.201492246495	379.397125491482	250.093064367737	434.585611121511	191.630101798951	293.1664871614
ENSG00000163586	FABP1	"fatty acid	symbol	description binding protein 1"	2687.41791794408	2313.40249941863	1978.62507037299	2158.18618718468	3417.87577333158	2851.50061778122	3483.1996498402	2902.09854406646	3406.46865706339	3056.90104088684
ENSG00000166173	LARP6	"La ribonucleoprotein domain family member 6"	318.810487260677	352.145835006641	426.010091682347	417.621184001277	294.667608894847	290.570020713714	162.929261773084	236.251238260687	226.058560766221	261.857444843193
